Date,User,Message
2023-03-22 00:00:00,"Yeon","나도 에이맨"
2023-03-22 00:00:02,"뿌까","알고리즘이 잇나"
2023-03-22 00:00:11,"뿌까","나걍 머릿속에 떠오르는 말 그냥함"
2023-03-22 00:00:18,"뿌까","사람에관한거 빼고"
2023-03-22 00:00:19,"뿌까","ㅇㅇ"
2023-03-22 00:00:23,"뿌까","관계, 프렌드쉽"
2023-03-22 00:00:28,"뿌까","이런건 생각하고 말함"
2023-03-22 00:00:35,"원상이","아니 걍"
2023-03-22 00:00:37,"원상이","부동산 보느라"
2023-03-22 00:00:45,"뿌까","설입 추천한다"
2023-03-22 00:00:54,"원상이","설입 확인 해보겟음"
2023-03-22 00:00:58,"Yeon","설입살면"
2023-03-22 00:01:02,"뿌까","백수로 전향후"
2023-03-22 00:01:02,"Yeon"," 세원상이랑 친해질수잇음"
2023-03-22 00:01:03,"유지수","와 나 방톱짤랏는데"
2023-03-22 00:01:05,"뿌까","ㅈㄴ 빨아먹어여지"
2023-03-22 00:01:08,"유지수","엄지발톱 때"
2023-03-22 00:01:11,"유지수","냄새 진짜 씨발"
2023-03-22 00:01:12,"Yeon","ㅠㅠ"
2023-03-22 00:01:14,"뿌까","나도"
2023-03-22 00:01:14,"Yeon"," 그런건"
2023-03-22 00:01:15,"유지수","나에게 정떨어진다"
2023-03-22 00:01:16,"뿌까","냄새 개오짐"
2023-03-22 00:01:17,"유지수","개역겹다씨발"
2023-03-22 00:01:17,"Yeon","말안해줘도돼"
2023-03-22 00:01:18,"뿌까","방금 맡음"
2023-03-22 00:01:22,"뿌까","근데 난 그런"
2023-03-22 00:01:25,"Yeon","이모티콘"
2023-03-22 00:01:26,"뿌까","꼬린내를 좋아해"
2023-03-22 00:01:29,"유지수","나 내성발톱 "
2023-03-22 00:01:31,"뿌까","그래서 가끔 맡아"
2023-03-22 00:01:33,"유지수","유전이라서"
2023-03-22 00:01:36,"뿌까","ㄷ ㄷ "
2023-03-22 00:01:38,"뿌까","내성발톱"
2023-03-22 00:01:38,"유지수","뿌리 지져서 안나게하는 수술햇는데"
2023-03-22 00:01:40,"뿌까","고치려면"
2023-03-22 00:01:42,"뿌까","뺀지로"
2023-03-22 00:01:43,"Yeon","ㄷㄷㄷ"
2023-03-22 00:01:44,"뿌까","뽑으면"
2023-03-22 00:01:45,"유지수","그뒤로 안파고들어"
2023-03-22 00:01:47,"뿌까","담부터 이쁘게 난대"
2023-03-22 00:01:48,"유지수","근데 발톱이"
2023-03-22 00:01:51,"유지수","반밖에 없음ㅋ"
2023-03-22 00:01:53,"뿌까","ㄷ "
2023-03-22 00:02:00,"유지수","가로로 반띵됨"
2023-03-22 00:02:02,"원상이","ㄷㄷㄷㄷㄷㄷㄷ"
2023-03-22 00:02:13,"Yeon","마니 걸음"
2023-03-22 00:02:16,"Yeon","피건한가"
2023-03-22 00:02:17,"뿌까","샵검색: #서울숲 돗자리"
2023-03-22 00:02:40,"뿌까","샵검색: #서울숲 돗자리"
2023-03-22 00:02:43,"뿌까","이거 모네"
2023-03-22 00:02:46,"뿌까","정원 급 아니냐"
2023-03-22 00:02:48,"뿌까","개쩌네"
2023-03-22 00:02:56,"뿌까","샵검색: #모네 정원"
2023-03-22 00:02:58,"Yeon","저런데가 다 잇엇네"
2023-03-22 00:03:16,"뿌까","아 먹고싶은게"
2023-03-22 00:03:18,"뿌까","너무 많아"
2023-03-22 00:03:26,"원상이","와 서울숲"
2023-03-22 00:03:28,"원상이","개예쁘네"
2023-03-22 00:03:36,"뿌까","내일 저기서 낮잠 자기로함"
2023-03-22 00:03:39,"뿌까","원묵이 덮고"
2023-03-22 00:03:59,"뿌까","귀마개"
2023-03-22 00:04:03,"뿌까","하고 가야지"
2023-03-22 00:04:07,"뿌까","벌래가 귀애 들어갈 수 잇어"
2023-03-22 00:04:25,"유지수","딸기식방"
2023-03-22 00:04:27,"유지수","낼 아침으로 머거야지"
2023-03-22 00:04:29,"뿌까","성수 감자탕 먹고싶다"
2023-03-22 00:04:29,"유지수","안썩겟지?"
2023-03-22 00:04:30,"뿌까","나"
2023-03-22 00:04:32,"뿌까","점심에"
2023-03-22 00:04:34,"Yeon","밥은"
2023-03-22 00:04:38,"뿌까","그 식빵 하나 혼자 다 먹음"
2023-03-22 00:04:38,"Yeon","머싸가"
2023-03-22 00:04:41,"유지수","초코식빵 점심에 다먹음ㅎㅎ"
